City Name,Description,Latitude,Longitude
Kudachi,Kudachi,16.62784,74.85408
Kumsi,Kumsi,14.05455,75.39992
Kumta,Kumta,14.42853,74.4189
Kundgol,Kundgol,15.25612,75.24735
Kunigal,Kunigal,13.02319,77.02518
Kurgunta,Kurgunta,17.19321,77.35772
Kushālnagar,Kushālnagar,12.45795,75.95904
Kushtagi,Kushtagi,15.75623,76.19112
Lakshmeshwar,Lakshmeshwar,15.12689,75.46935
Lingsugūr,Lingsugūr,16.15876,76.52174
Londa,Londa,15.46907,74.51906
Maddagiri,Maddagiri,13.66035,77.21239
Maddūr,Maddūr,12.58283,77.04294
Madikeri,Madikeri,12.42602,75.7382
Mahālingpur,Mahālingpur,16.3888,75.10873
Malavalli,Malavalli,12.38556,77.06045
Malpe,Malpe,13.34962,74.70394
Mandya,Mandya,12.5223,76.89746
Mangalore,Mangalore,12.91723,74.85603
Manipal,Manipal,13.35,74.78333
Māgadi,Māgadi,12.95706,77.22374
Mālūr,Mālūr,13.00322,77.93798
Mānvi,Mānvi,15.99126,77.05034
Māyakonda,Māyakonda,14.28894,76.08305
Mūdbidri,Mūdbidri,13.06653,74.99525
Mūlki,Mūlki,13.09101,74.79353
Melukote,Melukote,12.66258,76.64861
Muddebihāl,Muddebihāl,16.33782,76.13173
Mudgal,Mudgal,16.01191,76.44203
Mudgere,Mudgere,13.13353,75.6416
Mudhol,Mudhol,16.33354,75.28305
Mulbāgal,Mulbāgal,13.16352,78.39346
Mulgund,Mulgund,15.2807,75.52132
Mundargi,Mundargi,15.20677,75.8839
Mundgod,Mundgod,14.97144,75.03658
Munirābād,Munirābād,15.30928,76.3383
Murudeshwara,Murudeshwara,14.0943,74.4845
Mysore,Mysore,12.23,76.42
Nanjangūd,Nanjangūd,12.11764,76.68397
Narasimharājapura,Narasimharājapura,13.61075,75.512
Naregal,Naregal,15.57316,75.80805
Nargund,Nargund,15.72299,75.38666
Navalgund,Navalgund,15.55877,75.35305
Nāgamangala,Nāgamangala,12.81939,76.75456
Nelamangala,Nelamangala,13.09978,77.39364
Nyāmti,Nyāmti,14.14869,75.57641
Pāngāla,Pāngāla,13.25,74.75
Pāvugada,Pāvugada,14.09953,77.28018
Piriyāpatna,Piriyāpatna,12.33497,76.10073
Ponnampet,Ponnampet,12.14473,75.94514
Puttūr,Puttūr,12.75975,75.20169
Rabkavi,Rabkavi,16.47567,75.1106
Raichur,Raichur,16.16,76.91
Ramanagara,Ramanagara,12.65,77.35
Rāichūr,Rāichūr,16.20546,77.35567
Rānībennur,Rānībennur,14.62239,75.62951
Rāybāg,Rāybāg,16.49178,74.77391
Robertsonpet,Robertsonpet,12.95629,78.27539
Ron,Ron,15.69935,75.73408
Sadalgi,Sadalgi,16.5587,74.53211
Sakleshpur,Sakleshpur,12.94119,75.78467
Sandūr,Sandūr,15.08613,76.54692
Sanivārsante,Sanivārsante,12.72824,75.88669
Sankeshwar,Sankeshwar,16.25649,74.48195
Sargūr,Sargūr,11.99971,76.39611
Saundatti,Saundatti,15.76615,75.11778
Savanūr,Savanūr,14.97335,75.33724
Sāgar,Sāgar,14.16498,75.02901
Sīra,Sīra,13.74155,76.9043
Seram,Seram,17.17859,77.28998
Shāhābād,Shāhābād,17.1307,76.94361
Shāhpur,Shāhpur,16.69605,76.8422
Shiggaon,Shiggaon,14.99053,75.22499
Shikārpur,Shikārpur,14.2698,75.35643
Shimoga,Shimoga,14.05,75.16
Shirhatti,Shirhatti,15.23352,75.57996
Shorāpur,Shorāpur,16.521,76.75738
Shrīrangapattana,Shrīrangapattana,12.42264,76.68439
Siddāpur,Siddāpur,14.34322,74.894
Sidlaghatta,Sidlaghatta,13.38896,77.86444
Sindgi,Sindgi,16.91883,76.23368
Sindhnūr,Sindhnūr,15.76983,76.75581
Sirsi,Sirsi,14.62072,74.83554
Siruguppa,Siruguppa,15.63,76.89217
Someshwar,Someshwar,13.49112,75.06646
Somvārpet,Somvārpet,12.59698,75.84957
Sorab,Sorab,14.38144,75.09183
Srāvana Belgola,Srāvana Belgola,12.85737,76.48886
Srīnivāspur,Srīnivāspur,13.33914,78.21175
Sringeri,Sringeri,13.41698,75.25271
Sulya,Sulya,12.561,75.38741
Suntikoppa,Suntikoppa,12.45594,75.8297
Tarikere,Tarikere,13.70954,75.81382
Tālīkota,Tālīkota,16.47311,76.31085
Tīrthahalli,Tīrthahalli,13.68835,75.24548
Tekkalakote,Tekkalakote,15.53444,76.87703
Terdāl,Terdāl,16.49379,75.04667
Tiptūr,Tiptūr,13.2563,76.47768
Tirumakūdal Narsipur,Tirumakūdal Narsipur,12.21207,76.9018
Tumkūr,Tumkūr,13.34136,77.1022
Tumkur,Tumkur,13.5,77
Turuvekere,Turuvekere,13.16374,76.66641
Udupi,Udupi,13.5,74.87
Ullal,Ullal,12.80569,74.86058
Uttar Kannada,Uttar Kannada,14.88333,74.58333
Vadigenhalli,Vadigenhalli,13.29724,77.80184
Vīrarājendrapet,Vīrarājendrapet,12.19644,75.80512
Wādi,Wādi,17.05183,76.99048
Yadgir,Yadgir,16.73,76.94
Yādgīr,Yādgīr,16.77007,77.13755
Yelahanka,Yelahanka,13.10073,77.59632
Yelandūr,Yelandūr,12.04629,77.03034
Yelbarga,Yelbarga,15.61545,76.01184
Yellāpur,Yellāpur,14.9637,74.70929
